episode,length,step
0,999,1000
1,999,1999
2,999,2998
3,999,3997
4,999,4996
5,999,5995
6,999,6994
7,999,7993
8,999,8992
9,999,9991
10,999,10990
11,999,11989
12,999,12988
13,999,13987
14,999,14986
15,999,15985
16,999,16984
17,999,17983
18,999,18982
19,999,19981
20,999,20980
21,999,21979
22,999,22978
23,999,23977
24,999,24976
25,999,25975
26,999,26974
27,999,27973
28,999,28972
29,999,29971
30,999,30970
31,999,31969
32,999,32968
33,999,33967
34,999,34966
35,999,35965
36,999,36964
37,999,37963
38,999,38962
39,999,39961
40,999,40735
41,999,41734
42,999,42733
43,999,43732
44,999,44731
45,999,45510
46,684,46423
47,632,46736
48,378,47063
49,218,47731
50,231,47887
51,369,48027
52,239,48158
53,122,48372
54,121,48633
55,135,48819
56,126,49017
57,122,49143
58,124,49291
59,123,49500
60,129,49744
61,122,49952
62,220,50128
63,208,50262
64,146,50540
65,129,50698
66,130,50909
67,122,51092
68,121,51335
69,174,51575
70,121,51702
71,205,51941
72,94,52058
73,85,52148
74,106,52237
75,83,52325
76,121,52407
77,125,52615
78,128,52798
79,119,52923
80,122,53106
81,120,53274
82,118,53394
83,121,53491
84,122,53616
85,124,53734
86,121,53823
87,120,53945
88,120,54074
89,111,54199
90,118,54441
91,130,54561
92,121,54685
93,128,54801
94,118,54923
95,118,55043
96,120,55158
97,118,55370
98,118,55504
99,119,55635
100,119,55763
101,194,55887
102,123,56023
103,174,56153
104,126,56274
105,118,56393
106,127,56514
107,123,56640
108,120,56754
109,118,56878
110,118,56994
111,126,57132
112,118,57254
113,122,57374
114,120,57495
115,124,57619
116,114,57732
117,112,57835
118,113,57949
119,110,58056
120,112,58167
121,113,58280
122,87,58386
123,108,58496
124,108,58607
125,109,58718
126,113,58827
127,113,58913
128,110,59024
129,115,59115
130,120,59227
131,115,59341
132,115,59458
133,118,59577
134,118,59698
135,116,59817
136,113,59938
137,114,60054
138,114,60174
139,116,60293
140,115,60409
141,116,60520
142,118,60634
143,114,60764
144,116,60927
145,110,61046
146,110,61156
147,113,61266
148,115,61386
149,115,61507
150,113,61624
151,116,61741
