episode,total_reward,step
0,-2492.549961905146,1000
1,-1087.2786038209408,1999
2,-458.5181257948736,2998
3,-552.2888990986053,3997
4,-727.0864935245369,4996
5,-955.9281207643494,5995
6,-795.0028409742602,6994
7,-674.408501982844,7993
8,-1306.2169169250672,8992
9,-349.5364152358355,9991
10,-544.7342650140632,10990
11,-853.9525308228564,11989
12,-1159.1129357614395,12988
13,-1913.856532632994,13987
14,-2308.0714912040776,14986
15,-802.4908873821304,15985
16,-615.0024013570023,16984
17,-296.8807789120501,17983
18,-1666.634414873151,18982
19,-345.9801004576932,19981
20,-368.1797507485275,20980
21,-443.9374337220417,21979
22,-324.1905432548437,22978
23,-1491.8975855891538,23977
24,-458.1390523353151,24976
25,-445.9834406521289,25975
26,-492.9758867148995,26974
27,-537.6263781790983,27973
28,-586.0997294620761,28972
29,-305.2415762446148,29971
30,-359.95017626983736,30970
31,-319.23565945169884,31969
32,-519.0530897357985,32968
33,-347.20861716875123,33967
34,-284.2267139169523,34966
35,-2392.529535223179,35965
36,-388.35192549725264,36964
37,-325.5291923859151,37963
38,-329.73943446477733,38962
39,-820.3343188236254,39961
40,-341.9256583664423,40735
41,-198.84466347205904,41734
42,-398.60075642358055,42733
43,-462.8501903202267,43732
44,-805.712086999684,44731
45,-319.9873744533304,45510
46,-417.08324145883074,46423
47,-419.9330031925352,46736
48,-97.24956931489533,47063
49,-36.359955497318914,47731
50,-33.475286207487805,47887
51,-271.3494536780626,48027
52,-120.81649122835078,48158
53,-30.64004032530588,48372
54,-16.769379259167582,48633
55,-26.740189753776143,48819
56,-14.237033915225432,49017
57,-18.23644969158223,49143
58,-25.428986711975256,49291
59,-16.618201237603103,49500
60,-12.651190278677042,49744
61,-13.788552678069546,49952
62,-49.99141471916524,50128
63,-93.30025689249842,50262
64,-34.85598331718448,50540
65,-15.908399878750506,50698
66,-15.072416299767072,50909
67,-15.569319967779965,51092
68,-12.410040863820614,51335
69,-137.34559719850907,51575
70,-31.41474494400621,51702
71,-116.41116203439591,51941
72,-18.434802420033268,52058
73,-18.590310889551056,52148
74,-32.62458803906486,52237
75,-15.231249346787369,52325
76,-19.93453387472552,52407
77,-33.13077519967931,52615
78,-15.12078416973056,52798
79,-20.33483613748592,52923
80,-14.576777001099057,53106
81,-22.443850734436225,53274
82,-16.693287596060046,53394
83,-12.798040024001011,53491
84,-32.306853707768106,53616
85,-11.536000312880445,53734
86,-18.3649863382396,53823
87,-33.665793737005544,53945
88,-15.405684301612895,54074
89,-20.23199597709137,54199
90,-20.583395423628904,54441
91,-65.50721997945037,54561
92,-12.5553190818966,54685
93,-14.903056801829532,54801
94,-17.057655899158167,54923
95,-16.55824886353768,55043
96,-18.043401270422315,55158
97,-31.839374644208263,55370
98,-23.350146914353854,55504
99,-13.684688314587504,55635
100,-29.503939631121103,55763
101,-83.65127285600816,55887
102,-39.73577381755172,56023
103,-54.11969775345913,56153
104,-11.009066519069014,56274
105,-14.192742928151022,56393
106,77.28268517964148,56514
107,-11.49566586439028,56640
108,-30.342813532823413,56754
109,-33.92239024419358,56878
110,-20.59086154784787,56994
111,-14.86455357806851,57132
112,-21.47637706597228,57254
113,83.37162861650884,57374
114,-28.784224965983867,57495
115,-24.765477099629244,57619
116,-27.85835828500541,57732
117,-25.477168902406223,57835
118,-35.56483353051262,57949
119,-31.89906463432533,58056
120,-44.35682606092706,58167
121,-24.780234015335125,58280
122,-29.649526257934188,58386
123,-30.84864041631268,58496
124,-30.034491928320985,58607
125,-33.16697646352227,58718
126,50.41465834240803,58827
127,-35.95234949694057,58913
128,-28.41677356822917,59024
129,-28.879176907888017,59115
130,-26.60518401015345,59227
131,-27.75892940801993,59341
132,-26.142968837091573,59458
133,-25.28471495496137,59577
134,74.20083281357766,59698
135,74.09597170903248,59817
136,-24.644669311077244,59938
137,-24.997819871222514,60054
138,-26.127538469695367,60174
139,-26.76526084361229,60293
140,-23.05663661102004,60409
141,-23.15435721624088,60520
142,-13.17875595252644,60634
143,75.46910410837171,60764
144,70.46866521422137,60927
145,-24.579232519162588,61046
146,71.685736045891,61156
147,72.73404514258608,61266
148,-17.32800042336704,61386
149,-31.063483190463995,61507
150,75.19502946926049,61624
151,-27.191885926412503,61741
152,-28.601748182556328,61855
153,74.82669065748154,61964
154,-24.971463208924604,62072
155,71.56979301500317,62198
156,-25.19039609035776,62319
157,-28.28114104327057,62442
158,-25.136461586881587,62540
159,-14.573913544761083,62740
160,74.76911185795859,62870
161,-26.39270165506237,62980
162,-17.46210689720469,63104
163,-13.422370552045528,63216
164,83.14349663527446,63332
165,-28.323326373087703,63449
166,-27.92766047442868,63562
167,-28.879272532112665,63681
168,74.10274037352166,63795
169,75.93789848264875,63907
170,-26.15479515913086,64022
171,-25.40211250897175,64136
172,-23.786861688982363,64255
173,-24.51552023629969,64365
174,-28.633584264728725,64474
175,-16.57048166337171,64586
176,-23.737757154996125,64671
177,-24.207812222432704,64787
178,-26.757260299788182,64893
179,-17.6777327611455,64972
180,-17.86377716462783,65052
181,68.38292378663697,65127
182,72.58210675078693,65238
183,71.51053632835543,65351
184,73.4851797314459,65460
185,73.63840458418768,65572
186,75.43366864746173,65752
187,-15.671451256548533,65882
188,-15.657931999444962,65974
189,-12.719463445532996,66057
190,-16.562558744487465,66140
191,-12.588923927961549,66294
192,-7.333628745545699,66476
193,-8.186343295034805,66641
194,76.73800686790935,66900
195,-7.71744470265582,67020
196,-7.530754894893683,67170
197,-6.112520139773942,67261
198,-21.685850270709697,67335
199,-9.108528337447428,67408
200,-14.64006901059791,67483
201,-13.05073320452304,67559
202,73.81987168157112,67636
203,-19.17911666099766,67708
204,-24.94444863931104,67781
205,92.77198392314976,67859
206,-9.1673122701918,67934
207,-8.965852690795158,68005
208,-6.075440709720619,68076
209,-6.462120581932902,68149
210,-11.082084429419025,68222
211,-9.442156014979536,68295
212,-9.50128036597796,68367
213,-9.068280806508067,68440
214,-36.12227275932648,68512
215,-9.280722559387945,68590
216,-7.553313400224245,68667
217,-6.2775798402599685,68750
218,-9.215006581229328,68863
219,-7.269796109647791,68936
220,-7.1446817078027305,69011
221,-21.225036440418503,69083
222,-7.757772674157972,69160
223,-7.363267789574008,69236
224,-7.7090440417215635,69308
225,-6.43369226097973,69382
226,-6.192571263170312,69454
227,-10.660682389078737,69530
228,-9.92780229461588,69601
229,-6.291858937607948,69673
230,-6.147858167947704,69748
231,-17.76330421849251,69820
232,-11.8925985488234,69893
233,-14.137751472500325,69972
234,-9.20828426081971,70052
235,-9.906462097464557,70133
236,-12.169937532129472,70213
237,-10.186376382160852,70292
238,-7.379680044859908,70373
239,-6.468924479335401,70450
240,-8.668961461297775,70531
241,-20.065699049252096,70611
242,-6.129860983744144,70689
243,-10.975724363559198,70768
244,-7.485262126225203,70920
245,-5.968022723895543,71074
246,75.65785109510061,71157
247,-15.303953546812908,71261
248,-9.572930547829166,71340
249,-8.85947091849076,71413
250,-6.410427064528507,71483
251,-6.453668717089493,71586
252,-9.027009533133182,71667
253,74.77978461457558,71771
254,-7.003667810977796,71842
255,-9.112181758874527,71916
256,-14.209410900570251,71994
257,-20.191749082723547,72069
258,-8.01700972097824,72141
259,-12.76394961613866,72218
260,-6.1722059805711815,72291
261,-8.023145685699403,72362
262,-25.69449184474025,72434
