episode,length,step
0,95,121
1,59,229
2,85,354
3,96,423
4,63,502
5,68,590
6,74,675
7,72,752
8,79,811
9,69,926
10,127,1025
11,93,1138
12,341,1280
13,501,1533
14,213,1669
15,176,1952
16,175,2176
17,129,2502
18,222,2625
19,112,2745
20,235,2965
21,167,3189
22,105,3401
23,464,3548
24,223,3661
25,446,3790
26,193,3957
27,95,4060
28,190,4196
29,130,4417
30,214,4515
31,164,4621
32,167,4738
33,114,4914
34,252,5121
35,940,5315
36,100,5456
37,107,5703
38,109,5897
39,193,5982
40,132,6110
41,138,6229
42,99,6432
43,217,6595
44,632,6928
45,128,7311
46,203,7462
47,102,7573
48,701,7679
49,249,8197
50,82,8343
51,289,8609
52,246,8884
53,165,9038
54,411,9375
55,126,9589
56,93,9783
57,96,9998
58,233,10710
59,472,10848
60,707,11041
61,125,11144
62,89,11255
63,112,11815
64,136,11948
65,339,12089
66,138,12230
67,151,12484
68,280,12612
69,124,13208
70,129,13407
71,158,13563
72,195,13782
73,248,13987
74,132,14141
75,127,14300
76,219,14555
77,132,14705
78,148,14854
79,345,15026
80,226,15227
81,98,15389
82,186,15659
83,227,15972
84,235,16149
85,136,16324
86,234,16473
87,153,16652
88,243,16777
89,347,17015
90,135,17252
91,290,17605
92,331,17838
93,164,18075
94,215,18324
95,165,18632
96,261,18806
97,202,19045
98,262,19278
99,151,19530
100,173,19718
101,258,19880
102,244,20161
103,274,20406
104,276,20571
105,253,20705
106,253,20902
107,263,21063
108,263,21315
109,278,21745
110,255,21941
111,187,22130
112,269,22389
113,440,22683
114,340,22960
115,305,23297
116,387,23554
117,238,23826
118,378,24061
119,223,24743
120,402,25019
121,408,25300
122,893,25621
123,490,25975
124,339,26331
125,321,26705
126,558,27039
127,335,27896
128,370,28418
129,404,29012
130,741,29207
131,753,29805
132,397,30141
133,902,30428
134,1000,31239
135,326,31612
136,510,32021
137,532,32587
138,1000,33072
139,1000,34072
140,1000,35072
141,1000,36072
142,1000,37072
143,797,38072
144,1000,39072
145,1000,39438
146,1000,40438
147,1000,41438
148,1000,41779
149,1000,42779
150,1000,43779
151,720,44779
152,1000,45779
153,1000,46779
154,1000,47779
155,733,48779
156,1000,49779
157,1000,50779
158,1000,51779
159,1000,52779
160,1000,53779
161,1000,54779
162,816,55779
163,1000,56779
164,803,57779
165,408,58779
166,1000,59779
167,1000,60779
168,241,61779
169,1000,62242
170,368,63017
171,1000,64017
172,1000,65017
173,1000,65997
174,387,66997
175,1000,67997
176,1000,68997
177,1000,69997
178,987,70997
179,365,71545
180,1000,72459
181,1000,73459
182,633,74258
183,622,75258
184,838,76258
185,312,77068
186,917,77783
187,380,78783
188,384,79366
189,702,79715
190,1000,80715
191,432,81670
192,544,82343
193,803,83107
194,820,83436
195,518,83853
196,518,84300
197,1000,84494
198,1000,85494
199,1000,86494
200,837,87494
201,1000,88494
202,539,89494
203,890,90132
204,317,91132
205,1000,91669
206,1000,92140
207,215,93140
208,1000,94140
209,1000,95140
210,425,96140
211,1000,97140
212,1000,98140
213,1000,99140
214,419,100140
215,1000,101140
216,1000,102140
217,202,103140
218,1000,104140
219,758,105140
220,349,106140
221,1000,107140
222,1000,108140
223,1000,109140
224,1000,110140
225,425,111140
226,1000,112140
227,1000,113140
228,858,114140
229,1000,115140
230,1000,116140
231,1000,117140
232,850,117980
233,1000,118980
234,1000,119980
235,1000,120980
236,1000,121980
237,375,122980
238,1000,123980
239,1000,124980
240,1000,125980
241,1000,126980
242,1000,127980
243,1000,128980
244,1000,129980
245,1000,130980
246,1000,131980
247,1000,132980
248,1000,133980
249,1000,134980
250,1000,135980
251,1000,136980
252,1000,137980
253,1000,138980
254,1000,139980
255,1000,140980
256,1000,141980
257,1000,142980
258,914,143122
259,1000,144122
260,1000,145122
261,1000,146122
262,1000,147122
263,564,148122
264,164,149122
265,1000,150122
266,1000,151122
267,1000,152122
268,1000,152767
269,673,153767
270,921,154767
271,54,155767
272,65,156767
273,56,156825
274,1000,156912
275,1000,157912
276,90,158208
277,247,158268
278,411,159268
279,1000,160268
280,83,161268
281,928,162268
282,1000,163268
283,1000,163362
284,675,164362
285,240,165362
286,635,166362
287,1000,167362
288,929,168362
289,283,169362
290,431,169626
291,240,170626
292,671,171626
293,1000,172626
294,1000,173626
295,1000,173963
296,1000,174963
297,447,175963
298,637,176963
299,247,177963
300,275,178963
301,87,179039
302,259,180039
303,410,181039
304,985,181216
305,275,182216
306,368,183071
307,207,184071
308,242,185071
309,1000,185339
310,445,185552
311,1000,186265
312,1000,186647
313,123,187647
314,159,188647
315,144,189647
316,237,189924
317,399,190528
