episode,total_reward,step
0,-14.296139140225035,99
1,-336.45621084812376,197
2,-856.8500171281011,286
3,-708.3913224987785,383
4,-491.0855351934106,465
5,-171.62483120556124,536
6,-734.9193191361575,642
7,-76.36442856849014,737
8,-177.74132247982385,800
9,-39.00014262695989,868
10,-406.7164597763213,950
11,-447.3001489636727,1045
12,-288.7328032901687,1156
13,-1075.0777197414668,1297
14,-666.2855531864706,1387
15,-184.589981093809,1486
16,-444.5184515633633,1578
17,-166.7556073006848,1722
18,-137.92247143684452,1861
19,-423.9028337400383,2034
20,-105.35034250983166,2164
21,-631.1255293582064,2248
22,-2649.3503634008066,2455
23,-540.3752064148224,2570
24,-651.4514684626196,3570
25,-1129.078521526794,3773
26,-727.4818394126114,4135
27,-1050.1501739532089,4337
28,-1128.7553947990486,4470
29,-709.4642076550523,4593
30,-802.8837646508488,4705
31,-482.19534029322847,4789
32,-672.9386212986402,4901
33,-825.4167243901264,5065
34,-653.1367494104347,5221
35,-512.301419941698,5424
36,-564.5297486310219,5576
37,-613.2077656115683,5700
38,-483.67174252902464,5858
39,-748.687992293806,5999
40,-496.87332915860526,6130
41,-456.9088205917012,6320
42,-529.5981564446126,6466
43,-638.8466205037665,6640
44,-526.2594989772922,6785
45,-798.665292767789,6937
46,-314.2428601114364,7069
47,-822.5972366190584,7318
48,-375.6121657860609,7600
49,-253.2722931893619,7791
50,-298.5840279291561,7991
51,-181.78373915889563,8124
52,-1279.939873478642,8391
53,-135.07867579233027,8787
54,-602.0963615967441,8918
55,-464.3124100275709,9132
56,-203.45130792918684,9273
57,-274.8969923689108,9454
58,-378.4384392825463,9615
59,-428.2978605469432,9746
60,-1188.3803196738384,9857
61,-405.9604172418018,9979
62,-756.9898818550062,10134
63,-605.7490637380997,10239
64,-431.6255881837188,10392
65,-675.440847048548,10559
66,-601.805251443293,10722
67,-207.10300139561576,10852
68,-537.4359130798964,11010
69,-282.8166207690266,11158
70,-323.2400957605035,11279
71,-273.7065561057041,11473
72,-518.0349203932948,11831
73,-1022.0778610782994,12018
74,-369.6147053715517,12244
75,-968.724755312126,12414
76,-511.4598342622504,12571
77,-760.5147472002552,12663
78,-336.80903394710793,12797
79,-1256.1541825833035,12907
80,-34.79998670129541,13059
81,-409.4247118032536,13468
82,-552.5502425918132,13666
83,-305.4027174093289,13856
84,-105.5238247125024,14040
85,-192.88857279919736,14173
86,-804.2044358138539,14703
87,-89.28256082449533,14854
88,-283.4467440218608,15115
89,-139.90656525596324,15449
90,-288.50968941459985,15598
91,-257.87951945247096,15766
92,-220.12700075526635,15937
93,-212.8920318381741,16087
94,-228.8702032973444,16265
95,-188.37137903225928,16424
96,-363.27856272738535,16600
97,-246.7548294732657,16729
98,-291.4900145908368,16880
99,-124.30915598784227,16993
100,-302.40152469136257,17153
101,-226.7502748802432,17352
102,-160.37954824642128,17484
103,-161.49930362684066,17679
104,-51.702342350138345,17937
105,-174.17373098739714,18096
106,-78.27444702869087,18393
107,-78.02459631010001,18516
108,-269.0922580511814,18650
109,-228.23184038906751,18787
110,-297.10089161660886,18959
111,-155.3268953346195,19182
112,-68.59118552243706,19355
113,-245.00619486276835,19587
114,-143.21237548299598,19770
115,-254.54655937995904,19939
116,-335.28300673899577,20143
117,-229.6848281138348,20326
118,-203.8257126975253,20445
119,-200.5590233013409,20700
120,-221.18457348848096,20853
121,-207.0601151313359,20947
122,-89.34301355172836,21144
123,-199.40252495695543,21285
124,-117.30690251448532,21449
125,-268.327897021602,21603
126,-164.45471406181838,21735
127,-205.3414233103817,22117
128,-118.31269561872617,22281
129,-121.20459011466406,22433
130,-156.20190146117014,22684
131,-483.8051512414331,22838
132,-398.66210008205246,22991
133,-223.2034844888913,23182
134,-31.28699509012065,23448
135,-203.0426105751832,23712
136,-167.7731312412737,24135
137,-350.074048460122,24319
138,-162.64830037981042,24838
139,-202.111024353046,25038
140,-244.50666977778195,25345
141,-248.53534341818613,26026
142,-236.7540275384184,26207
143,-232.1079944026324,26715
144,-259.59093342208433,27318
145,-248.17247122739565,27923
146,-133.4180069890309,28571
147,-138.74013914766155,28810
148,-170.0669731776427,29197
149,-217.9184633096743,29465
150,-609.311771107212,29600
151,-199.1118699055677,30234
152,-210.5845689194883,30858
153,-135.8459306320757,31183
154,-118.461041855589,31787
155,-201.13044489571703,32787
156,-118.76187968315136,33227
157,-220.1054283821213,33607
158,-258.93319429581425,34363
159,-150.11553933794585,35259
160,-266.10092190341294,35611
161,-218.4943433189129,36003
162,-204.51954538213607,36283
163,-143.91194328281762,36517
164,-144.48613436977774,36985
165,-223.4396119174394,37419
166,-141.993863973347,38163
167,-188.48428006289367,38485
168,-206.34727297838987,39485
169,-122.20365759901584,40485
170,-183.74230132128488,41485
171,-94.85859042031682,42485
172,-98.04730717131504,43485
