episode,length,step
0,999,1000
1,999,1999
2,999,2998
3,999,3997
4,999,4996
5,999,5995
6,999,6994
7,999,7993
8,999,8992
9,999,9991
10,999,10990
11,999,11989
12,999,12988
13,999,13987
14,999,14986
15,999,15985
16,999,16984
17,999,17983
18,999,18982
19,999,19981
20,999,20980
21,999,21979
22,999,22978
23,999,23977
24,999,24976
25,999,25975
26,999,26974
27,999,27973
28,999,28972
29,999,29971
30,999,30970
31,999,31969
32,999,32968
33,999,33967
34,999,34966
35,999,35965
36,999,36964
37,999,37963
38,999,38962
39,999,39961
40,999,40960
41,999,41959
42,999,42958
43,999,43957
44,999,44956
45,999,45955
46,999,46954
47,999,47953
48,999,48952
49,999,49951
50,999,50950
51,999,51949
52,999,52948
53,999,53947
54,999,54946
55,999,55945
56,999,56944
57,999,57943
58,999,58942
59,999,59941
60,999,60940
61,999,61939
62,999,62938
63,999,63937
64,999,64936
65,999,65935
66,999,66934
67,999,67933
68,999,68932
69,999,69931
70,999,70930
71,999,71929
72,999,72928
73,999,73927
74,999,74926
75,999,75925
76,999,76924
77,999,77923
78,999,78922
79,999,79921
80,999,80920
81,999,81919
82,999,82918
83,999,83917
84,999,84916
85,999,85915
86,999,86914
87,999,87913
88,999,88912
89,999,89911
90,999,90910
91,999,91909
92,999,92908
93,999,93907
94,999,94906
95,999,95905
96,999,96904
97,999,97903
98,999,98902
99,999,99901
100,999,100900
101,999,101899
102,999,102898
103,999,103897
104,999,104896
105,999,105895
106,999,106894
107,999,107893
108,999,108892
109,999,109891
110,999,110890
111,999,111889
112,999,112888
113,999,113887
114,999,114886
115,999,115885
116,999,116884
117,999,117883
118,999,118882
119,999,119881
120,999,120880
121,999,121879
122,999,122878
123,999,123877
124,999,124876
125,999,125875
126,999,126874
127,999,127873
128,999,128872
129,999,129871
130,999,130870
131,999,131869
132,999,132868
133,999,133867
134,999,134866
135,999,135865
136,999,136864
137,999,137863
138,999,138862
139,999,139861
140,999,140860
141,999,141859
142,999,142858
143,999,143857
144,999,144856
145,999,145855
146,999,146854
147,999,147853
148,999,148852
149,999,149851
150,999,150850
151,999,151849
