episode,total_reward,step
0,-0.0024174658126262,1000
1,-0.0365601604034869,1999
2,-0.0004163312663882,2998
3,-0.0300210268238453,3997
4,-0.0432508370478822,4996
5,-0.0155916366158832,5995
6,-0.0084805244421465,6994
7,-0.0073249167890775,7993
8,-0.0053603589600441,8992
9,-0.0027807597354904,9991
10,-0.0027184841146491,10990
11,-0.0018771004007144,11989
12,-4.891477525630416e-05,12988
13,-0.0005986370275366,13987
14,-4.598929030077135e-05,14986
15,-5.437349957015461e-05,15985
16,-0.0001177927977226,16984
17,-8.523037993109942e-05,17983
18,-8.187257133219545e-05,18982
19,-6.398701231686785e-06,19981
20,-0.0021412542235288,20980
21,-0.0046511135996275,21979
22,-0.0003385993458986,22978
23,-0.0021555830243235,23977
24,-0.0262919053285943,24976
25,-0.0196667665799858,25975
26,-0.0162124861999555,26974
27,-0.0165986161098422,27973
28,-0.0095266776316454,28972
29,-0.0119771839995626,29971
30,-0.0077334789847436,30970
31,-0.009927411850646,31969
32,-0.0194959103086001,32968
33,-0.0137680094674603,33967
34,-0.0116671182101782,34966
35,-0.0094571239489526,35965
36,-0.0086978115428483,36964
37,-0.010612366152748,37963
38,-0.008365441353043,38962
39,-0.0110940721337635,39961
40,-0.0140052548428527,40656
41,-0.0092036608112541,41655
42,-0.0115849023357026,42654
43,-0.0104769543773213,43653
44,-0.2359142520773548,44652
45,-0.4780666890216556,45651
46,-0.1830243764482905,46650
47,-0.1992340739067105,47649
48,-0.2047235744913956,48648
49,-0.1890396665513897,49647
50,-1.1550370443842632,50646
51,-0.1394652114599898,51645
52,-0.0538209641608296,52454
53,-0.0469450999499032,53453
54,-0.2449604633213786,54452
55,-0.04999676590539,55451
56,-0.0136144219802678,56450
57,-0.2394755541157734,57449
58,-0.1145913858784587,58448
59,-1.7710585845783042,59447
60,-0.0115903511183332,60375
61,-0.0257495334065414,61374
62,-0.0227953911037361,62373
63,-0.0975448036185356,63313
64,-0.0137289740324367,64312
65,-4.011030784171744,65311
66,-6.562848350623399,66310
67,-2.7840600628219123,67309
68,-3.68178859450878,68308
69,-3.186324406437324,69307
70,-1.2201411739155728,70306
71,-2.740060834397092,71305
72,-3.468290539622201,72304
73,-3.596165059762327,73303
74,-2.4794704462359034,74150
75,-2.8425194387546906,75149
76,-3.204604235922924,75586
77,-3.0246845294913625,76585
78,-2.8958857509818503,77508
79,-3.0969881923655067,78350
80,-2.3640118246735504,79349
81,-2.9956146235853023,80348
82,-2.2729020965259377,81347
83,-2.162075539571309,82346
84,-1.175139289596724,83345
85,-1.5506683007886817,84344
86,-1.9197243687655388,85343
87,-1.3444288918688827,86342
88,-0.73616167657715,87277
89,-2.5837467793059554,88276
90,-0.6387878081184297,89275
91,-1.6903829796415828,90274
92,-1.981650570592784,91273
93,-0.1727942550535997,92095
94,-1.5826744118732456,93094
95,-1.0095002799702295,94027
96,-1.630197238427994,95026
97,-1.3381446392484109,96025
98,-0.0021962257408756,97024
99,-0.42433423350125,98023
100,-0.0383034764318898,99022
101,-1.1693218371914036,100021
102,-3.784094383185438,101020
103,-1.0339826310461748,102019
104,-0.822608574706697,103018
105,-4.332049816133055,104017
106,-4.129595528838854,105016
107,-5.1076670052355855,106015
108,-4.75687010263424,107014
109,-2.750004607694773,108013
110,-0.0859653219654636,109012
111,-4.951771548036686,110011
112,-0.6402483660783775,110950
113,-0.8673411014829403,111949
114,-2.218026439739816,112948
115,-1.00796329900627,113947
116,-0.4283398997467926,114946
117,-0.3101268196178918,115945
118,-5.932763659938894,116944
119,-0.203749246352585,117943
120,-0.9123925862351508,118942
121,-1.1618812082428434,119774
122,-1.9701528088131903,120773
123,-2.417614012657503,121772
124,-8.827664249413917,122771
125,-11.096557633678062,123770
126,-13.032953925330396,124769
127,-22.442141665247902,125768
128,-17.66353596659672,126767
129,-10.86423835155736,127766
130,-10.056101658496043,128765
131,-4.734199594577066,129764
132,-0.1082138008130672,130763
133,-2.3774779607945424,131762
134,-1.2553807498792746,132761
135,-2.259790445044368,133760
136,-2.848894671764852,134759
137,-1.2588622382876544,135758
138,-1.2380503325999928,136757
139,-0.7264469053052538,137756
140,-1.0304313395434803,138755
141,-0.4582005173346778,139754
142,-0.6090467500198153,140753
143,-1.136751077969179,141752
144,-0.9466178585995424,142751
145,-1.272094192147612,143750
146,-0.5753127339020282,144749
147,-0.5813695218452495,145748
148,-0.6272951271793793,146747
149,-0.1833070895216399,147746
150,-1.468045814802038,148745
151,-0.5700406424046378,149744
152,-0.1350930593090489,150743
153,-0.054445049222825,151742
154,-0.0918864034239172,152741
155,-7.19219296242215e-05,153740
156,-0.1169443036772827,154739
157,-0.0037920958904639,155738
158,-0.0036813417850178,156737
159,-0.0058076469961117,157736
160,-0.0658260900301754,158735
161,-0.3368246239266259,159734
162,-0.0956726172985522,160733
163,-0.1420074054109113,161732
164,-0.4075967375226862,162731
165,-0.3368922106922248,163730
166,-0.1793297441220838,164392
167,-0.4083704707482256,165391
168,-0.3668407704062687,166390
169,-0.4218012347577563,167389
170,-0.4266386113430814,168388
171,-0.3093870248350788,169387
172,-0.4852510473723991,170386
173,-1.1631115224036923,171271
174,-1.7264659642399762,172270
175,-3.118917027518628,173224
176,-1.2969281476780377,174223
177,-1.6863360316083842,175222
178,-1.9270529958748548,176221
179,-2.304804385445552,177220
180,-2.5626828976315754,178219
181,-2.4098806446393275,179218
182,-2.746083390103777,180217
183,-3.239376793331436,181216
184,-3.605335557084248,182215
185,-2.2614495897460167,183214
186,-3.214708587355973,184213
187,-2.7578160395620683,185212
188,-5.378827929107674,186211
189,-6.007424218635225,187210
190,-4.224909588208776,188209
191,-5.673943943109699,189208
192,-8.077515471766091,190207
193,-5.458807211257355,191206
194,-6.808220831933644,192205
195,-6.759876490816285,192633
196,-9.048596500678624,193632
197,-9.32451347879038,194631
198,-37.1419992457615,195630
199,-69.94229791792694,196629
200,-64.73993794284468,197628
201,-75.18479270541829,198627
202,-56.01532469005071,199626
203,-72.71984681421121,200625
204,-75.33841674699126,201624
205,-58.28961755168452,202410
206,-64.23595949621365,203409
207,-55.71783390852679,204408
208,-64.07892297571124,205407
209,-70.13106683805158,206406
210,-57.34585572913651,207405
211,-61.03879951443038,208149
212,-60.86017055734494,209148
213,67.47185548560714,210147
214,66.51979591000656,211146
215,34.088513621177626,212145
216,41.54540036763357,213144
217,73.6185983047909,213803
218,75.33820161543964,214802
219,65.95396111370756,215801
220,27.25791398620362,216800
221,61.5305984904173,217747
222,45.320648108779096,218746
223,62.72961603558184,219745
224,63.19854307323604,220732
225,73.03402906991519,221731
226,56.109175980529415,222458
227,74.93757257190587,222839
228,56.036780026910414,223838
229,69.69218653726844,224837
230,52.84216084288578,225836
231,71.6179435445255,226822
232,46.799404580459296,227821
233,-84.14483744605535,228261
234,42.16608869775116,229260
235,61.632461545939655,230259
236,67.95933787225599,231258
237,48.35048086264271,232257
238,79.94520698006204,233256
239,62.517460734787264,233901
240,60.783293209962046,234900
241,39.91763432021438,235899
242,52.55078322006006,236898
243,38.46076034981349,237897
244,51.487145792714784,238896
245,66.37047515478619,239805
246,59.98463095224445,240366
247,46.68970609573575,241365
248,75.9108485164583,242354
249,55.13238354021415,243353
250,53.91877547935289,244352
251,51.17052666425975,245351
252,9.701525531308164,246350
253,-98.42303950845186,247061
254,-98.61068272604324,248060
255,-98.80346626974476,249059
256,-99.43553944568744,250058
257,-99.3109746951455,251057
258,-99.57003704379468,252056
259,-99.66660155914508,253000
260,-99.73024097547017,253999
261,-99.01543572200548,254998
262,92.5450977227859,255997
263,-0.9486788431020792,256996
264,-0.5594643528988896,257995
265,-0.2067874971979207,258994
266,-0.2633388283835094,259911
267,-0.4751185005653444,260910
268,-0.4637860542553701,261827
269,-0.4913194608363995,262826
270,-0.3615992703413608,263825
271,40.68141688874849,264699
272,-87.17014205632496,265698
273,-1.2069578882905416,266697
274,-1.0874102709110545,267696
275,32.34373802449912,269694
276,-97.94059425460163,270693
277,-99.27828403812596,271692
278,-99.63094496644972,272691
279,-99.71819796483192,273690
280,-99.7821434551681,274689
281,-99.82967390747496,275688
282,-99.83696423341264,276160
283,-99.84847537832913,277000
284,-99.86363599166611,277999
285,-99.87739790872924,278998
286,-99.88364283908282,279997
287,-99.88910260927612,280996
288,-99.89050033199544,281995
289,-99.89371644596048,282994
290,-99.89558426341746,283993
291,-99.89666699525868,284992
292,-99.89736112407832,285991
293,-99.89758418132982,286990
294,-99.89787150748948,287757
295,-99.8978257445414,288756
296,-99.89690333336006,289755
297,-99.89749441800828,290754
298,-99.89689778021314,291753
299,-99.89342245794678,292752
300,10.722935775851,293629
301,-85.63053184861826,294628
302,-88.60642495907031,295627
303,-89.0271081746356,296626
304,-91.08299576321716,297625
305,-88.1306346206593,298624
306,-88.36652431907417,299623
307,-87.42698853138471,300622
308,-91.37426075132596,301621
309,-90.88634845815928,302620
310,-90.42327252552175,303619
311,-86.78980675429675,304618
312,-86.36880483009188,305617
313,-82.67944992014066,306616
314,-83.04657768023787,307615
315,-76.54452295292907,308614
316,-80.41455728356048,309613
317,-77.30323414485714,310612
318,-79.84297960624801,311611
319,-78.51468123104628,312610
320,-85.71554321150681,313609
321,-85.54946755595977,314608
322,-90.5803849636486,315607
323,-88.64027856132594,316606
324,-80.6373838492772,317605
325,-79.39368631202511,318604
326,-81.61061058388414,319603
327,-79.02817564784202,320018
328,-77.71253117270089,321017
329,-72.41504780133052,322016
330,-74.18945931458858,323015
331,-74.21404778127561,324014
332,-74.67860311704975,325013
333,-67.88718872842342,326012
334,-72.14664599747695,327011
335,-75.64197826988948,328010
336,-74.47992288863351,329009
337,-70.0725542742834,330008
338,-70.95940982218062,331007
339,-76.52624977202925,331657
340,-75.41318180613129,332656
341,-80.63439989836473,333655
342,-65.49504743296447,334654
343,-57.04041894674453,335653
344,-60.92264242745219,336652
345,-63.37039616684592,337463
346,-66.1098510528383,338462
347,-61.13952614440157,339461
348,-64.28658539377828,340460
349,-57.38686268167964,341459
350,-56.881571260590654,342458
351,-24.15807005735161,343165
352,93.99235538891762,343749
353,94.68943377807275,343845
354,93.95797172359474,343924
355,93.94853135439828,343996
356,93.48947796190484,344137
357,93.56632897439891,344212
358,93.49865824427464,344394
359,93.37349298273422,344541
360,93.37153271184344,344615
361,93.44950897849316,344683
362,93.42860052052748,344823
363,93.45766738669602,344916
364,93.42558982041876,344985
365,93.29828880357113,345056
366,93.335915158326,345124
367,93.2135688623129,345199
368,93.29682305511102,345277
369,93.33271100027304,345352
370,93.2678803992826,345420
371,93.43013186947596,345487
372,93.31318891140684,345558
373,93.28243580115156,345811
374,93.26264048141826,346023
375,93.39861250423928,346097
376,93.28546682259127,346165
377,93.32128487142828,346235
378,93.43717823422467,346309
379,93.43146166452946,346378
380,93.33298224824809,346451
381,93.39604604094018,346521
382,93.19742640169936,346974
383,93.2674795972755,347112
384,93.24529085556831,347187
385,93.30406275774578,347259
386,93.36900295743828,347402
387,93.254922905125,347471
388,93.36476909273148,347542
389,93.3828239884172,347613
390,93.41035568707277,347701
391,93.3015460079864,347771
392,93.30417373694505,347850
393,93.40377126350006,348013
394,93.40307139881914,348344
395,93.30941137159824,348510
396,93.26883174914404,348580
397,93.40453774050906,348656
398,93.38461295787432,348736
399,93.38529361050684,348830
400,93.44757900918496,348901
401,93.37894470987317,348969
402,93.27514708111474,349047
403,93.21061320358082,349117
404,93.3662408879279,349279
405,93.36594579412598,349352
406,93.4022676393101,349420
407,93.30558884712087,349503
408,93.47299131144275,350428
409,93.50272103916323,350584
410,93.36324832801706,350737
411,93.37633559678537,351736
412,93.43804824157698,352185
413,93.36192360389664,352255
414,93.40114573420058,352322
415,93.42875515071243,352496
416,93.40025290602765,352563
417,93.48962486246168,352633
418,93.39375433966568,352700
419,93.3640543633179,352772
420,93.45120939016168,352839
421,93.44219253491931,352912
422,93.41034390696056,352984
423,93.42993553516978,353052
424,93.38881042439128,353124
425,93.42994478482144,353314
426,93.35195629733916,353384
427,93.4003251253382,353451
428,93.45315565220604,353521
429,93.50131619130951,353589
430,93.3543023485296,353657
431,93.49649510084348,353729
432,93.3543378298708,353797
433,93.37936455805782,353865
434,93.42866213320258,353947
435,93.4616313722441,354040
436,93.39245427893462,354204
437,93.40453297265938,354273
438,93.49572843527172,354340
439,93.49730488107004,354461
440,93.37231228523372,354985
441,93.42601467944664,355065
442,93.50080460549508,355132
443,93.3859944148576,355200
444,93.38213677526004,355335
445,93.41843540627082,355404
446,93.41449205015188,355472
447,93.48973080066918,355540
448,93.41741210981482,355609
449,93.42083995032765,355678
450,93.3533144012568,355999
451,93.44079284886946,356076
452,93.4192582486321,356144
453,93.47006514296106,356223
454,93.37528689146012,356408
455,93.4417843638992,356501
456,93.4240607989562,356585
457,93.498552322961,356654
458,93.41559126618824,356720
459,93.37390092813652,357432
460,93.3651643240654,357625
461,93.49619977378416,357708
462,93.40128069116771,357787
463,93.40901378740024,357872
464,93.3053312064402,357945
465,93.35822843264128,358020
